/Library/Developer/CommandLineTools/usr/bin/python3: can't open file '/Users/eilinaire/coprem/Coprem/03-system/scripts/autonomous_loop.py': [Errno 2] No such file or directory
/Users/eilinaire/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-06-06 12:19:11,433 [INFO] ============================================================
2026-06-06 12:19:11,433 [INFO] COPREM Autonomous Loop started
2026-06-06 12:19:11,433 [INFO] Polling every 3s | LiteLLM: http://localhost:4000
2026-06-06 12:19:11,433 [INFO] ============================================================
2026-06-06 12:20:12,436 [INFO]   … idle, queue empty
2026-06-06 12:21:16,539 [INFO]   … idle, queue empty
2026-06-06 12:22:20,603 [INFO]   … idle, queue empty
2026-06-06 12:23:24,499 [INFO]   … idle, queue empty
2026-06-06 12:24:28,285 [INFO]   … idle, queue empty
2026-06-06 12:25:32,284 [INFO]   … idle, queue empty
2026-06-06 12:26:36,022 [INFO]   … idle, queue empty
2026-06-06 12:27:39,881 [INFO]   … idle, queue empty
2026-06-06 12:28:43,922 [INFO]   … idle, queue empty
2026-06-06 12:29:47,885 [INFO]   … idle, queue empty
2026-06-06 12:30:51,895 [INFO]   … idle, queue empty
2026-06-06 12:31:55,816 [INFO]   … idle, queue empty
2026-06-06 12:32:59,422 [INFO]   … idle, queue empty
2026-06-06 12:34:03,388 [INFO]   … idle, queue empty
2026-06-06 12:35:07,136 [INFO]   … idle, queue empty
2026-06-06 12:36:10,909 [INFO]   … idle, queue empty
2026-06-06 12:37:14,714 [INFO]   … idle, queue empty
2026-06-06 12:38:18,508 [INFO]   … idle, queue empty
2026-06-06 12:39:22,244 [INFO]   … idle, queue empty
2026-06-06 12:40:26,206 [INFO]   … idle, queue empty
2026-06-06 12:41:30,055 [INFO]   … idle, queue empty
2026-06-06 12:42:33,663 [INFO]   … idle, queue empty
2026-06-06 12:43:37,644 [INFO]   … idle, queue empty
2026-06-06 12:44:41,493 [INFO]   … idle, queue empty
2026-06-06 12:45:45,511 [INFO]   … idle, queue empty
2026-06-06 12:46:49,337 [INFO]   … idle, queue empty
2026-06-06 12:47:53,182 [INFO]   … idle, queue empty
2026-06-06 12:48:57,029 [INFO]   … idle, queue empty
2026-06-06 12:50:00,758 [INFO]   … idle, queue empty
2026-06-06 12:51:04,608 [INFO]   … idle, queue empty
2026-06-06 12:52:08,435 [INFO]   … idle, queue empty
2026-06-06 12:53:12,288 [INFO]   … idle, queue empty
2026-06-06 12:54:15,995 [INFO]   … idle, queue empty
2026-06-06 12:55:19,988 [INFO]   … idle, queue empty
2026-06-06 12:56:23,817 [INFO]   … idle, queue empty
2026-06-06 12:57:27,592 [INFO]   … idle, queue empty
2026-06-06 12:58:31,327 [INFO]   … idle, queue empty
2026-06-06 12:59:35,150 [INFO]   … idle, queue empty
2026-06-06 13:00:38,985 [INFO]   … idle, queue empty
